SepalLength,SepalWidth,PetalLength,PetalWidth,Species
5.3,3.65,1.68,0.53,0
6.99,2.61,6.23,1.98,2
5.72,3.19,1.19,0.43,0
5.99,2.91,4.17,1.69,1
5.37,3.61,1.16,0.29,0
5.12,3.56,1.56,0.37,0
6.95,3.36,3.56,0.87,1
6.2,2.4,4.1,1.11,1
7.07,2.88,5.72,2.72,2
5.06,3.94,1.41,0.13,0
5.76,3.81,1.82,0.52,0
7.92,3.03,6.09,1.56,2
6.86,2.7,5.64,1.79,2
4.81,4.06,1.3,0.52,0
5.57,2.22,3.17,0.83,1
4.72,3.49,1.42,0.17,0
6.57,3.21,4.28,1.55,1
8.0,3.36,6.75,2.57,2
4.91,4.18,1.42,0.15,0
4.8,3.22,1.76,0.17,0
6.46,2.87,4.69,1.58,1
5.71,3.3,1.89,0.5,0
7.8,3.58,6.57,1.54,2
6.93,3.31,6.41,1.57,2
5.62,3.89,1.22,0.2,0
5.7,4.13,1.48,0.41,0
5.07,3.08,1.76,0.4,0
6.75,3.26,5.25,2.5,2
5.67,3.54,1.25,0.11,0
7.67,3.68,5.77,1.51,2
5.3,4.15,1.66,0.43,0
6.35,2.84,3.95,1.31,1
7.43,3.4,6.57,2.44,2
7.04,3.19,6.8,2.22,2
5.08,4.07,1.84,0.3,0
5.42,4.15,1.65,0.1,0
5.61,2.1,3.1,1.66,1
6.62,2.74,5.32,1.66,2
5.39,3.48,1.57,0.45,0
6.81,2.67,5.11,1.8,2
7.39,3.4,6.77,2.53,2
5.54,3.72,1.47,0.58,0
4.56,3.99,1.47,0.17,0
7.33,2.8,6.81,2.44,2
7.56,3.22,5.29,1.67,2
6.98,2.74,3.15,0.99,1
5.8,3.49,3.13,1.29,1
5.76,4.08,1.14,0.35,0
6.32,2.88,5.68,2.42,2
5.51,3.29,4.14,1.36,1
6.32,3.11,3.49,1.63,1
7.95,3.76,5.99,1.52,2
6.69,2.61,5.19,2.77,2
6.14,2.74,6.93,2.26,2
5.25,4.01,1.02,0.16,0
6.04,2.55,3.09,1.71,1
5.39,3.91,1.15,0.52,0
5.55,2.44,4.81,1.37,1
4.6,3.65,1.0,0.16,0
6.17,2.83,4.63,1.17,1
6.3,3.03,4.4,0.81,1
6.32,2.27,4.09,1.4,1
6.73,2.83,3.53,1.73,1
7.52,3.25,6.7,2.04,2
6.67,3.65,5.66,1.68,2
6.65,2.95,5.43,1.69,2
5.18,3.6,1.27,0.13,0
5.69,3.49,1.13,0.17,0
5.3,4.12,1.71,0.28,0
7.35,3.7,5.29,1.94,2
5.83,2.78,4.84,1.75,1
6.15,2.91,4.51,1.26,1
6.76,2.95,3.28,1.49,1
5.92,2.81,3.09,1.28,1
5.45,3.04,1.68,0.46,0
5.47,4.08,1.08,0.21,0
6.63,2.69,4.13,1.33,1
5.71,3.78,1.54,0.45,0
5.28,3.04,1.16,0.26,0
5.59,3.78,1.37,0.56,0
6.48,2.48,4.47,1.31,1
6.17,2.52,5.54,2.58,2
6.95,2.63,3.83,1.12,1
6.12,2.99,3.48,0.97,1
6.64,3.59,6.0,2.36,2
6.85,2.86,6.41,2.17,2
5.5,3.3,4.34,1.02,1
6.32,3.32,4.71,1.06,1
5.39,3.01,1.52,0.58,0
5.64,3.22,4.86,1.43,1
6.71,3.75,5.69,2.6,2
5.37,3.16,1.82,0.55,0
6.04,2.83,5.98,2.54,2
7.87,3.53,5.08,2.01,2
5.92,2.55,4.44,0.92,1
4.64,3.68,1.32,0.31,0
7.39,3.7,5.93,2.19,2
5.33,3.65,1.52,0.19,0
6.66,3.01,3.53,0.88,1
6.59,3.4,3.47,1.46,1
6.24,2.04,3.54,0.95,1
7.38,2.77,5.49,1.9,2
5.29,4.04,1.81,0.55,0
5.57,2.12,3.79,1.64,1
7.42,2.89,7.0,2.54,2
7.16,2.55,6.93,2.72,2
5.61,2.57,4.17,1.21,1
7.57,2.85,6.77,2.13,2
6.21,2.35,4.47,1.64,1
5.66,3.77,1.17,0.56,0
6.44,2.49,3.12,1.28,1
7.12,2.61,5.19,1.91,2
5.78,3.67,1.78,0.54,0
6.9,2.22,3.33,1.37,1
5.77,2.45,3.31,0.85,1
6.91,3.39,6.81,1.82,2
6.87,3.16,4.0,0.85,1
4.8,4.06,1.09,0.11,0
6.35,2.9,6.22,2.35,2
4.59,3.07,1.46,0.11,0
4.99,4.09,1.79,0.54,0
4.81,4.1,1.78,0.5,0
5.75,3.31,1.87,0.47,0
7.87,3.42,6.89,2.5,2
5.21,4.15,1.65,0.24,0
5.02,3.39,1.13,0.36,0
6.91,2.78,6.87,2.27,2
5.64,2.92,4.33,0.85,1
5.49,3.4,1.13,0.58,0
5.87,3.43,3.94,1.04,1
7.97,3.73,5.88,2.12,2
7.37,2.55,5.06,2.02,2
5.06,3.26,1.31,0.18,0
5.62,3.88,1.14,0.6,0
5.3,3.75,1.56,0.52,0
5.25,3.4,1.36,0.45,0
6.41,3.52,5.3,1.77,2
4.92,3.18,1.21,0.36,0
6.8,2.99,5.71,1.5,2
4.54,3.5,1.88,0.26,0
6.77,2.19,3.01,1.75,1
6.26,2.92,5.56,2.53,2
6.06,2.2,4.19,1.62,1
6.68,2.96,3.81,1.61,1
5.31,3.36,1.19,0.44,0
6.55,2.4,4.81,0.93,1
6.64,3.21,4.86,1.72,1
5.53,3.27,1.56,0.11,0
7.51,2.66,5.46,2.54,2
5.63,4.03,1.62,0.28,0
5.03,4.02,1.86,0.44,0
5.32,3.97,1.24,0.43,0
5.94,2.12,4.16,1.54,1
5.84,2.59,3.34,1.7,1
6.82,3.43,3.66,1.56,1
7.18,3.43,6.12,2.27,2
5.56,3.39,1.68,0.2,0
5.61,2.74,4.57,1.36,1
5.11,3.95,1.62,0.11,0
7.65,3.27,6.93,1.63,2
5.22,3.45,1.82,0.36,0
5.8,4.15,1.73,0.32,0
7.62,2.66,6.98,2.35,2
6.46,2.71,3.86,1.04,1
5.62,2.94,4.28,1.42,1
6.09,3.53,6.02,1.66,2
5.92,2.26,4.32,0.89,1
7.33,3.01,6.54,2.0,2
5.29,3.09,1.62,0.33,0
5.32,3.72,1.36,0.54,0
6.26,2.8,3.02,1.47,1
5.42,3.03,1.09,0.24,0
6.68,3.25,4.22,1.47,1
5.54,2.3,3.16,1.61,1
6.06,3.04,5.75,1.6,2
6.64,3.63,6.52,2.79,2
6.46,2.88,5.15,2.53,2
7.1,2.6,6.19,2.72,2
5.25,3.37,1.65,0.4,0
6.27,2.97,3.52,1.13,1
6.56,2.55,6.05,2.79,2
7.0,2.51,5.51,1.67,2
6.7,2.65,3.97,1.27,1
7.05,2.8,6.29,2.77,2
7.11,2.9,6.25,1.94,2
5.02,3.39,1.3,0.15,0
6.13,2.34,4.59,1.72,1
4.79,3.26,1.71,0.33,0
6.97,3.27,3.81,1.09,1
5.72,3.43,1.49,0.47,0
5.37,3.92,1.4,0.38,0
5.84,2.32,3.1,0.98,1
7.31,2.85,5.19,2.75,2
4.62,3.61,1.03,0.53,0
6.55,2.67,6.1,2.27,2
7.73,2.88,6.41,2.64,2
6.86,3.23,4.87,1.56,1
6.3,2.05,4.12,1.2,1
5.41,3.28,1.71,0.59,0
6.15,2.03,4.78,1.35,1
4.88,3.94,1.63,0.47,0
6.23,2.98,4.4,1.03,1
6.89,3.66,5.25,2.22,2
5.44,3.74,1.84,0.28,0
7.08,2.9,6.93,2.42,2
4.72,3.08,1.45,0.22,0
6.35,2.79,5.07,2.01,2
5.65,2.95,4.42,1.52,1
4.9,3.04,1.29,0.22,0
5.74,2.17,4.56,1.37,1
4.98,3.31,1.19,0.53,0
5.77,2.41,3.84,0.85,1
6.32,2.62,3.76,1.54,1
6.12,3.28,3.69,1.38,1
6.64,3.52,5.69,1.83,2
7.65,3.54,5.78,2.52,2
4.52,3.01,1.34,0.3,0
6.73,2.8,5.57,2.79,2
5.37,4.2,1.56,0.43,0
4.78,3.35,1.07,0.12,0
6.64,3.07,3.93,1.12,1
4.61,3.41,1.54,0.18,0
4.78,3.33,1.17,0.54,0
6.47,3.37,6.64,1.56,2
5.61,2.6,4.49,1.12,1
5.15,3.17,1.36,0.55,0
6.24,2.62,5.13,2.5,2
7.71,3.24,6.33,2.5,2
7.42,2.86,5.07,1.56,2
7.44,3.67,6.43,1.82,2
5.15,4.12,1.5,0.28,0
6.95,2.85,6.25,2.51,2
6.01,3.39,3.24,0.92,1
6.33,3.37,4.97,0.81,1
7.94,3.71,5.83,1.6,2
7.94,2.52,5.22,2.59,2
7.47,2.61,5.52,2.7,2
7.74,3.13,6.92,2.23,2
5.31,3.4,1.77,0.1,0
5.72,3.8,1.12,0.34,0
5.6,2.71,4.21,1.53,1
5.37,3.59,1.07,0.47,0
6.27,2.18,3.07,0.87,1
6.99,3.61,5.56,2.01,2
7.64,3.59,5.88,2.63,2
6.46,3.7,6.29,2.63,2
6.45,2.38,4.07,1.08,1
5.93,2.66,4.97,1.24,1
6.64,3.02,3.4,1.42,1
4.53,4.18,1.4,0.23,0
7.43,2.79,5.14,2.61,2
7.14,2.71,5.14,2.24,2
7.07,2.96,5.25,2.55,2
6.29,2.25,4.55,1.44,1
7.5,3.09,6.86,2.72,2
5.79,3.33,1.78,0.11,0
5.7,3.44,3.29,1.3,1
6.76,3.38,6.6,2.61,2
6.14,2.79,3.56,0.9,1
7.82,2.7,5.93,1.84,2
5.75,3.81,1.71,0.39,0
5.28,3.47,1.12,0.44,0
6.23,2.59,3.82,1.75,1
5.64,2.15,4.68,1.47,1
5.76,3.2,1.16,0.34,0
6.58,2.56,5.26,1.82,2
6.63,2.82,4.74,1.25,1
5.63,2.86,3.19,1.49,1
6.92,3.4,4.67,0.86,1
5.55,3.64,1.26,0.15,0
5.04,3.28,1.37,0.14,0
5.16,3.4,1.82,0.43,0
5.75,2.34,3.75,1.46,1
6.53,3.31,5.86,1.81,2
6.87,2.36,3.81,1.13,1
6.85,3.77,6.25,1.94,2
5.35,4.08,1.52,0.29,0
5.38,3.46,1.57,0.14,0
5.77,2.9,3.74,1.3,1
6.66,3.23,4.57,1.77,1
5.54,3.73,1.86,0.53,0
5.17,3.08,1.71,0.53,0
5.9,2.67,4.04,1.47,1
5.76,2.45,4.62,1.52,1
5.26,3.52,1.78,0.35,0
6.17,3.47,6.42,1.57,2
6.66,3.4,5.63,2.56,2
5.86,2.01,3.48,1.4,1
4.61,4.12,1.7,0.28,0
4.74,3.89,1.11,0.31,0
6.33,2.72,4.52,1.44,1
6.12,2.17,4.22,1.72,1
6.5,2.14,3.74,1.4,1
5.15,4.04,1.1,0.22,0
5.43,3.74,1.01,0.36,0
7.5,3.62,5.6,2.39,2
6.51,3.35,5.2,1.76,2
6.42,2.56,3.63,1.63,1
5.22,4.08,1.09,0.16,0
6.05,2.29,4.84,0.99,1
6.9,2.34,4.98,1.06,1
7.21,3.64,5.51,2.17,2
5.56,3.18,1.64,0.28,0
7.9,2.56,5.08,1.89,2
6.54,3.02,6.1,2.7,2
7.45,2.81,5.16,2.47,2
6.63,3.75,6.95,2.24,2
6.95,2.02,3.37,0.97,1
6.84,3.41,4.83,0.84,1
5.75,2.18,4.6,1.52,1
6.4,2.66,3.04,0.84,1
5.71,3.36,4.72,1.77,1
6.11,3.1,6.44,1.93,2
5.66,4.1,1.47,0.4,0
5.41,3.08,1.37,0.43,0
5.57,3.85,1.01,0.35,0
6.96,3.25,4.53,1.19,1
5.53,3.13,1.66,0.57,0
5.46,3.89,1.38,0.41,0
5.12,3.74,1.74,0.15,0
7.05,2.65,6.87,1.67,2
4.5,3.84,1.65,0.18,0
4.53,3.57,1.51,0.29,0
6.47,3.37,4.95,1.14,1
4.71,3.36,1.53,0.27,0
5.5,3.29,1.88,0.47,0
6.8,2.9,4.22,1.32,1
6.69,3.45,4.62,1.22,1
4.9,3.99,1.57,0.29,0
5.78,4.03,1.55,0.51,0
7.13,2.97,6.03,1.89,2
6.7,2.07,4.89,1.53,1
6.15,3.33,6.97,1.92,2
6.92,2.38,4.49,1.56,1
4.63,3.45,1.87,0.51,0
5.21,3.03,1.12,0.19,0
6.81,2.22,3.2,1.79,1
5.37,3.59,1.89,0.38,0
5.55,2.38,3.67,0.87,1
6.85,2.41,4.81,0.94,1
6.6,3.13,6.92,2.76,2
6.51,2.2,3.29,1.78,1
4.98,3.1,1.88,0.4,0
5.77,3.26,1.0,0.26,0
4.66,3.05,1.34,0.43,0
5.47,3.44,1.2,0.49,0
5.35,4.12,1.67,0.56,0
5.23,3.0,1.6,0.2,0
7.56,2.89,5.47,2.04,2
5.7,4.11,1.48,0.41,0
7.82,3.64,5.16,1.79,2
4.86,3.16,1.89,0.32,0
5.93,2.75,4.04,1.44,1
6.55,3.16,4.73,0.85,1
4.73,3.93,1.57,0.42,0
4.67,4.01,1.88,0.16,0
5.24,3.25,1.59,0.26,0
7.69,2.79,6.94,2.69,2
5.66,3.14,1.27,0.14,0
6.8,2.04,3.68,1.07,1
6.05,3.23,6.08,1.65,2
6.12,2.08,3.28,0.84,1
5.33,4.11,1.05,0.15,0
6.64,2.65,5.23,2.61,2
6.88,2.76,4.35,0.97,1
6.74,2.93,4.24,1.09,1
6.79,2.91,4.49,1.52,1
4.92,3.27,1.58,0.14,0
4.89,4.17,1.4,0.19,0
5.51,3.65,1.23,0.41,0
4.85,3.62,1.86,0.6,0
4.75,3.57,1.41,0.29,0
4.57,4.09,1.26,0.57,0
6.0,3.03,3.65,1.1,1
6.76,2.39,3.76,1.26,1
6.74,2.97,3.61,1.46,1
4.79,4.02,1.67,0.3,0
6.54,3.05,3.18,1.35,1
4.81,3.88,1.79,0.27,0
7.78,2.62,6.08,2.33,2
5.58,3.22,3.15,1.41,1
5.55,2.69,3.61,1.11,1
7.9,3.28,5.19,2.73,2
7.93,3.38,5.33,1.79,2
5.0,4.01,1.57,0.58,0
6.56,3.2,3.36,1.24,1
7.96,3.8,6.82,1.59,2
6.17,2.09,3.43,1.01,1
6.22,3.26,3.86,1.45,1
5.51,3.07,1.33,0.17,0
7.35,2.88,5.31,1.83,2
5.11,3.44,1.78,0.55,0
7.18,3.67,5.32,1.73,2
7.66,2.64,5.57,1.52,2
6.99,3.32,3.3,1.5,1
6.93,2.26,3.44,1.69,1
6.84,2.85,6.87,1.66,2
6.81,2.9,4.72,0.94,1
6.23,3.27,3.09,1.26,1
5.74,3.04,3.75,1.03,1
6.03,2.95,6.58,2.2,2
7.6,3.15,5.47,1.54,2
6.6,2.16,3.56,1.17,1
4.77,3.2,1.48,0.33,0
5.97,2.94,3.26,1.48,1
6.87,3.06,4.1,1.67,1
6.38,3.5,5.68,2.08,2
6.87,2.0,4.91,1.22,1
5.43,4.08,1.22,0.36,0
7.01,2.85,6.57,2.58,2
6.87,2.63,6.87,1.87,2
5.88,2.32,4.15,0.92,1
5.79,3.16,1.24,0.15,0
5.23,3.46,1.01,0.18,0
5.35,3.43,1.82,0.5,0
6.0,2.85,4.03,1.14,1
5.4,3.72,1.88,0.33,0
4.64,3.41,1.51,0.11,0
6.74,2.91,3.48,1.73,1
6.59,2.78,5.27,1.78,2
6.63,2.12,3.77,1.09,1
7.55,3.47,5.62,2.25,2
6.7,3.74,6.29,2.17,2
7.91,2.79,6.69,2.58,2
6.07,2.58,6.04,2.79,2
5.59,3.06,1.56,0.19,0
6.7,3.73,5.68,2.48,2
6.8,2.61,3.01,1.27,1
4.84,3.09,1.25,0.38,0
6.82,3.59,6.94,1.82,2
6.61,2.78,4.94,1.41,1
6.55,2.4,3.41,0.85,1
5.11,3.32,1.29,0.35,0
5.36,3.15,1.01,0.23,0
6.53,2.6,5.28,2.17,2
7.0,3.13,6.09,2.67,2
5.97,2.81,4.8,1.08,1
4.62,4.2,1.86,0.42,0
4.97,3.75,1.54,0.39,0
5.08,3.51,1.39,0.36,0
5.01,3.52,1.83,0.55,0
4.7,4.05,1.87,0.26,0
7.78,2.51,6.11,1.84,2
5.42,3.83,1.35,0.5,0
5.94,3.29,4.28,1.7,1
4.68,3.32,1.37,0.51,0
5.07,3.24,1.67,0.17,0
6.2,3.41,4.27,1.08,1
7.83,3.79,6.83,1.72,2
5.79,3.44,4.34,1.72,1
7.99,3.19,6.65,2.05,2
6.97,3.22,6.6,1.98,2
5.57,3.22,4.48,1.47,1
4.81,4.12,1.38,0.26,0
7.5,2.65,5.21,2.69,2
6.35,3.21,3.29,1.59,1
6.88,2.81,3.52,0.85,1
6.36,2.83,5.62,1.81,2
6.58,3.32,3.36,1.43,1
4.57,3.69,1.06,0.57,0
6.41,2.95,3.64,1.27,1
5.79,3.49,1.05,0.43,0
5.7,3.85,1.08,0.22,0
7.6,3.6,6.84,1.81,2
7.45,3.16,6.9,1.75,2
7.39,3.5,6.23,1.9,2
5.54,3.21,1.76,0.2,0
6.53,3.13,3.68,1.15,1
6.32,2.19,4.11,1.29,1
7.42,3.28,5.08,2.31,2
6.09,2.55,6.86,2.61,2
7.52,2.51,6.9,1.76,2
4.62,3.81,1.54,0.2,0
6.35,3.36,3.7,1.74,1
6.59,3.03,6.25,2.49,2
6.53,2.92,3.81,0.87,1
5.44,3.81,1.86,0.16,0
5.64,2.79,3.29,1.13,1
5.07,3.29,1.15,0.36,0
5.05,3.44,1.28,0.32,0
5.64,4.1,1.43,0.52,0
7.14,2.67,5.21,2.71,2
5.59,3.25,4.16,0.83,1
6.35,3.12,5.94,2.47,2
6.54,2.18,3.27,1.37,1
4.51,3.31,1.46,0.48,0
5.79,2.89,3.55,1.65,1
5.75,3.36,1.42,0.4,0
5.58,3.6,1.02,0.38,0
4.86,3.44,1.81,0.29,0
6.56,3.06,3.69,1.47,1
5.4,3.11,1.68,0.14,0
4.92,4.1,1.67,0.28,0
4.61,4.01,1.49,0.34,0
6.92,3.31,6.82,1.71,2
6.41,3.47,4.23,1.58,1
6.09,3.66,6.19,2.4,2
5.25,3.14,1.83,0.27,0
7.38,3.0,6.93,1.79,2
6.78,3.62,5.24,2.38,2
6.48,2.27,3.5,1.51,1
6.51,2.52,4.16,1.3,1
5.61,3.2,1.88,0.53,0
6.03,3.28,3.05,1.06,1
4.88,4.08,1.8,0.47,0
5.75,2.89,4.44,0.82,1
5.59,2.59,4.73,0.85,1
5.05,3.38,1.26,0.17,0
5.69,4.19,1.39,0.58,0
4.52,4.03,1.02,0.18,0
5.44,3.76,1.25,0.28,0
